 DBN,frequency,Block type,Status,BNL shipment,Shipped on,Comment,Prototype,Fiber type,Fiber batch,Filling time (h),FF date,Filled by,Checked by,W powder,W bucket number,Mold number,Empty mold (g),Filled mold (g),W filling mass (g),fibers loaded by,W filling date,W filled by,Epoxy batch,Resin mass (g),Hardener mass (g),potting notes,Epoxy filling time (min),Epoxy filling date,Epoxy preparer,Delta Mach-Pot,Machining date,Machined by,L (in),BT (in),BB (in),BH (in),ST (in),SB (in),SH (in),Volume (mL),Measured by,Mass (g),Measured by,Density(g/mL),Tested on,# Fibers N,Good end,ABS N-W (%),# Fibers / # Holes (%),10-15(%),15-50(%),50-75(%),r75 (%),R,T1(BL) Fiber %,T2(BR) Fiber %,T3(TL) Fiber %,T4(TR) Fiber %, missing row?,13 connected holes?,FOM_N,FOM_I,Tested by,Tested on,Scintillation (mV),Calibration (mV),Ratio (Calibrated Twice),Tested by,Tested on,Natural Pictures,Tested by,Retouch,Density Result Checked?,Light Checked?,Natural Pictures checked?,Sector ID (SSCR),LT M/D/YYYY,Days Mach-LT,Scint M/D/YYYY,Block Grade,De,Di,LT,LTQ,Vi,Sci,Pic,X,LT-all,DBN,S-left,S-right,column,row,relative W weight,Δ(L) [mm],Δ(BT) [mm],Δ(BB) [mm],Δ(BH) [mm],Δ(ST) [mm],Δ(SB) [mm],Δ(SH) [mm]
369,1,10,7,14,5/18/2020,3-A/4-A,Sector 1-12,SG47,3-A,2.00,1/25/2019,Eyal,,HCS,HCS-28,4,1140,5010,3870,SA,2/7/2020,ET,6,110,25,d40g,1.5,2/7/2020,ET,13,2/20/2020,AW,5.0883,2.1016,2.0488,2.2125,1.8625,1.8132,1.9823,343.4,Mason,3068,Mason,8.93,20200225,2650,W,2.9985,99.33,0.1509,1.2076,3.6981,5.1,0.151,102.849,101.199,96.5517,96.7016,N,N,,,Vrishin/Saad,20200508,442.088,273.569,1.616,Mason,20200226,20200511,Saad,,Zander,Mason,Mason,04D10,43959,78,43887,5a,5a,5a,5a,5a,5a,5a,1,1,5a,369,0,4,D,10,,-0.14478,0.42164,-0.05588,-0.0889,0.4191,-0.04572,-0.17018
370,2,10,7,13,2/28/2020,,Sector 1-12,SG47,3-A,1.50,1/25/2019,Parker,,HCS,HCS-27,4,1130,5035,3905,SA,1/13/2020,SA,6,110,25,d40g,3,1/30/2020,ET,20,2/19/2020,AW,5.0893,2.0970,2.0502,2.2173,1.8578,1.8146,1.9853,343.8,Mason,3094,Mason,9.00,20200220,2654,W,0.0000,99.48,0.0000,0.3391,1.6956,2.0,0.120,99.5502,99.5502,100,98.8006,N,N,,,Zander,20200221,259.014,151.192,1.713,Vrishin,20200221,20200221,Zander,,Saad,Mason,Mason,03D10,43882,2,43882,5a,5a,5a,5a,5a,5a,5a,1,1,5a,370,0,3,D,10,,-0.11938,0.3048,-0.02032,0.03302,0.29972,-0.01016,-0.09398
371,3,10,8,,,More thinner,Sector 1-12,SG47,3-A,0.70,1/25/2019,Shashwat,,HCS,HCS-13,3,1064,4728,3664,ET,4/12/2019,ET,3,140,35,more Alc thinner 12g,6.5,4/14/2019,ET,-43569,,,5.0963,2.0808,2.0460,2.2163,1.8438,1.8138,1.9808,342.3,Saad,2985,Saad,8.72,20190416,2619,W,0.0375,98.16,0.0382,0.3055,0.3436,0.7,0.080,99.8501,96.7016,96.7016,96.4018,Y,N,,,Yuxuan,,164.167,,,Xiaoning,,20190418,Xiaoning,,,,,,#NUM!,#NUM!,#NUM!,8,5b,5a,5a,5a,8,#N/A,1,FALSE,8,371,,,,,,0.05842,-0.10668,-0.127,0.00762,-0.05588,-0.03048,-0.20828
372,4,10,7,11,1/23/2020,,Sector 1-12,SG47,3-A,1.50,1/25/2019,Mina,,HCS,HCS-17,4,1155,5060,3905,SA,10/28/2019,ET,5,120,30,d35gh,2.5,10/28/2019,ET,-43766,,,5.0905,2.0900,2.0499,2.2048,1.8508,1.8142,1.9958,343.0,Mason,3116,Mason,9.09,20191121,2662,W,0.2624,99.78,0.0751,1.5778,8.9782,10.6,0.198,99.8501,99.8501,99.8501,99.5502,N,N,,,Mason,20191202,223.827,187.941,1.191,Mason,20200108,20191213,Xiaoning,,Zander,Zander,Saad,02C10,43801,43801,43838,5a,5a,5a,5a,5a,5a,5a,1,1,5a,372,0,2,C,10,,-0.0889,0.127,-0.02794,-0.28448,0.12192,-0.02032,0.17272
373,5,10,8,,,,Sector 1-12,SG47,3-B,2.00,1/25/2019,Mason,,HCS,HCS-7,4,1140,4925,3785,ET,8/27/2019,ET,4,120,30,d35gh,3.5,8/28/2019,ET,-43705,,,5.0880,2.0847,2.0501,2.2113,1.8456,1.8145,1.9920,342.6,Mason,3108,Mason,9.07,20190926,2630,W,0.4123,98.58,0.1141,0.7985,4.8669,5.8,0.157,99.2504,98.8006,96.5517,99.7001,N,Y,,,Mason,20190926,223.183,178.725,1.249,Saad,20191001,20190927,Mason,,Xiaoning,Xiaoning,Xiaoning,,43734,43734,43739,8,5a,5a,5a,5a,8,5a,1,1,8,373,,,,,,-0.1524,-0.00762,-0.02286,-0.11938,-0.01016,-0.0127,0.0762
374,6,10,7,16,,6/16/2020,Sector 1-12,SG47,3-B,1.25,1/25/2019,Parker,,HCS,HCS-31,5,1140,4925,3785,SA,5/7/2020,ET,7,110,25,d40g,2.5,5/7/2020,ET,4,5/11/2020,AW,5.0915,2.0925,2.0472,2.2125,1.8532,1.8115,1.9838,342.8,Mason,3024,Mason,8.82,20200521,2617,W,0.2624,98.09,0.1146,2.5602,11.9985,14.7,0.218,96.5517,99.5502,99.1004,97.1514,N,N,,,Mason,20200527.1,200.941,131.185,1.532,Mina,20200528,20200528,Mason,,Saad,Saad,Saad,04A10,43978,16,43979,5a,5a,5a,5a,5a,5a,5a,1,1,5a,374,0,4,A,10,,-0.0635,0.1905,-0.09652,-0.0889,0.18288,-0.0889,-0.13208
375,7,10,7,14,5/18/2020,,Sector 1-12,SG47,3-B,1.25,1/28/2019,Zander,,HCS,HCS-28,5,1145,5030,3885,SA,2/4/2020,ET,6,110,25,d40g,3,2/4/2020,ET,-43865,,,5.0853,2.0881,2.0431,2.2113,1.8491,1.8077,1.9773,341.0,Mason,3046,Mason,8.93,20200225,2652,W,2.6987,99.40,0.1131,2.0362,7.2775,9.4,0.185,99.1004,99.4003,99.8501,99.2504,N,N,,,Vrishin/Saad,20200508,320.278,273.569,1.171,Mason,20200226,20200511,Saad,R,Zander,Mason,Mason,04B10,43959,43959,43887,5a,5a,5a,5a,5a,5a,5a,1,1,5a,375,0,4,B,10,,-0.22098,0.07874,-0.20066,-0.11938,0.07874,-0.18542,-0.29718
376,8,10,7,15,6/1/2020,6 week in Freezer,Sector 1-12,SG47,3-B,1.50,1/28/2019,Zander,,HCS,HCS-31,6,1170,5220,4050,SA,3/3/2020,SA,6,110,25,d40g,2,3/16/2020,ET,2,3/18/2020,AW,5.0940,2.1020,2.0495,2.2158,1.8626,1.8136,1.9895,344.7,Saad,3204,Saad,9.30,20200519,2654,W,0.3374,99.48,0.0000,0.7536,5.8026,6.6,0.166,99.1004,99.4003,99.7001,99.7001,N,N,,,Mason/Saad/Xiaoning\,20200519,148.718,168.766,0.881,Mina/Saad,20200521,20200521,Mina,,Mason,Saad,Saad,03B10,43970,62,43972,5a,5a,5a,5a,5a,5a,5a,1,1,5a,376,0,3,B,10,,0,0.4318,-0.0381,-0.00508,0.42164,-0.03556,0.0127
377,9,10,7,12,2/14/2020,,Sector 1-12,SG47,3-B,2.00,1/28/2019,Amanda,,HCS,HCS-27,5,1145,5115,3970,SA,1/21/2020,SA,6,120,30,d40g,5.5,1/28/2020,ET,-43858,,,5.0973,2.0918,2.0430,2.2133,1.8523,1.8070,1.9805,342.5,Zander,3088,Zander,9.02,20200213,2659,W,1.0495,99.66,0.0752,1.0154,4.7010,5.8,0.150,99.5502,100.3,99.2504,99.5502,N,N,,,Mason,20200213.1,244.089,148.22,1.647,Mason,20200213,20200213,Xiaoning,,Saad,Xiaoning,Saad,09B10,43874,43874,43874,5a,5a,5a,5a,5a,5a,5a,1,1,5a,377,0,9,B,10,,0.08382,0.17272,-0.2032,-0.06858,0.16002,-0.2032,-0.2159
378,10,10,7,14,5/18/2020,,Sector 1-12,SG47,3-B,0.80,1/28/2019,Shashwat,,HCS,HCS-30,4,1140,5150,4010,SA,2/25/2020,SA,6,110,25,d40g,2,3/2/2020,ET,4,3/6/2020,AW,5.0970,2.0836,2.0502,2.2153,1.8440,1.8142,1.9805,342.6,Mina,3152,Mina,9.20,20200312,2644,W,2.0239,99.10,0.0756,1.9289,4.8033,6.8,0.173,98.6507,98.9505,99.7001,99.1004,N,N,,,Saad,20200508,189.329,226.314,0.837,Tim,20200313,20200511,Saad,,Saad,Saad/Mason,Saad/Mason,06B10,43959,63,43903,5a,5a,5a,5a,5a,5a,5a,1,1,5a,378,0,6,B,10,,0.0762,-0.03556,-0.02032,-0.01778,-0.0508,-0.02032,-0.2159
379,11,10,7,15,6/1/2020,,Sector 1-12,SG47,3-B,2.00,1/28/2019,Nabeeha,,HCS,HCS-29,5,1140,5065,3925,SA,2/13/2020,ET,6,110,25,d40g,2,2/13/2020,ET,14,2/27/2020,AW,5.0735,2.1025,2.0435,2.2185,1.8641,1.8087,1.9833,342.6,Mason,3108,Mason,9.07,20200518,2653,W,0.8246,99.44,0.0000,3.0908,5.7671,8.9,0.177,98.9505,100,99.5502,99.2504,N,N,,,Mason/Saad/Xiaoning/Zander,20200518,107.928,76.6138,1.409,Saad,20200522,20200526,Mina,R,Saad,Xiaoning,Mason,03A10,43969,81,43973,5a,5a,5a,5a,5a,5a,5a,1,1,5a,379,0,3,A,10,,-0.5207,0.4445,-0.1905,0.0635,0.45974,-0.16002,-0.14478
380,12,10,8,,,LowScint 5c to 8 remeasure scint,Sector 1-12,SG47,3-B,2.00,1/28/2019,Amanda,,HCS,HCS-30,5,1145,5200,4055,SA,2/27/2020,SA,6,110,25,d40g,2,3/4/2020,ET,63,5/6/2020,AW,5.0878,2.0857,2.0431,2.2200,1.8466,1.8075,1.9953,343.1,Saad,3148,Saad,9.18,20200519,2586,W,0.2249,96.93,0.3480,2.7069,8.4300,11.5,0.219,95.3523,97.3013,97.1514,97.901,N,N,,,Xiaoning/Mason/Saad,20200519,110.317,168.766,0.654,Mina/Saad,20200521,20200521,Mina,,Mason,Saad,Saad,,43970,13,43972,8,5a,5a,5c,5b,5a,8,1,1,5b,380,,,,,,-0.15748,0.01778,-0.20066,0.1016,0.01524,-0.1905,0.16002
381,13,10,8,,,Old vibe table test,Sector 1-12,SG47,3-B,1.00,1/28/2019,Shashwat,,HCS,HCS-13,2,1070,4604,3534,ET,4/12/2019,ET,3,140,35,Slightly faster 3g,6,4/12/2019,ET,-43567,,,5.0843,2.0330,2.0263,2.2078,1.7938,1.7848,1.9748,333.9,Yuxuan,2908,Yuxuan,8.71,,2632,W,0.4123,98.65,0.7599,99.0881,0.0000,99.8,0.159,99.2504,98.8006,98.2009,98.3508,N,N,,,Anmol,20190422,255.133,,,Xiaoning,,20190723,Mason,,,,Saad,,43577,43577,#NUM!,8,5b,8,5a,5a,5a,#N/A,1,FALSE,5a,381,,,,,,-0.24638,-1.3208,-0.62738,-0.20828,-1.32588,-0.76708,-0.36068
382,14,10,7,20,8/21/2020,PATCH JOB,Sector 1-12,SG47,3-B,1.50,1/28/2019,Mason,,HCS,HCS-32,4,1135,4890,3755,SA,5/13/2020,ET,7,110,25,d40g,3,5/13/2020,ET,2,5/15/2020,AW,5.0480,2.0790,2.0310,2.2030,1.8180,1.7750,1.9780,334.3,AW,2936,AW,8.78,20200803,2628,W,1.1244,98.50,0.1522,0.8371,2.9680,4.0,0.159,99.1004,97.3013,97.6012,100,N,N,,,Mason/Mina,20200804,307.791,173.542,1.774,Mina,20200804,20200804,Mina,,Saad,Saad,Saad,08C10,44047,81,44047,5b,5b,5b,5a,5a,5a,5a,1,1,5a,382,0,8,C,10,,-1.1684,-0.1524,-0.508,-0.3302,-0.7112,-1.016,-0.2794
383,15,10,8,,,,Sector 1-12,SG47,3-B,1.25,1/29/2019,Emily,,HCS,HCS-16,3,1062,4972,3910,ET,6/6/2019,ET,4,120,30,no ht V d35g no ends,4.75,6/6/2019,ET,-43622,,,5.0825,2.0500,2.0320,2.2068,1.8255,1.8148,1.9843,338.0,Joseph,3098,Joseph,9.16,20190617,2605,W,0.1874,97.64,0.0768,0.9981,2.6871,3.8,0.157,100.6,99.4003,96.2519,94.3028,N,Y,,,Joseph,20190617,242.941,166.242,1.461,Joseph,20190617,20190617,Joseph,,Xiaoning,Xiaoning,Xiaoning,,43633,43633,43633,8,5a,5b,5b,5b,8,5a,1,1,8,383,,,,,,-0.2921,-0.889,-0.4826,-0.23368,-0.5207,-0.00508,-0.11938
384,16,10,7,18,7/14/2020,5c retested LowLT,Sector 1-12,SG47,3-B,0.23,6/6/2019,Saad,,HCS,HCS-29,6,1165,5050,3885,SA,2/18/2020,ET,6,110,25,d40g,2,2/18/2020,ET,14,3/3/2020,AW,5.0913,2.1036,2.0512,2.2095,1.8643,1.8156,1.9810,343.6,Mina,3094,Mina,9.00,20200312,2567,W,0.8996,96.21,0.2337,3.8956,11.2583,15.4,0.234,97.6012,96.8516,96.4018,94.003,N,N,,,Mina/Mason,20200611,170.962,226.314,0.755,Tim,20200313,20200313,Zander,,Saad,Mason,Saad,05B10,43993,100,43903,5c,5a,5a,5c,5b,5a,5a,1,1,5b,384,0,5,B,10,,-0.06858,0.47244,0.00508,-0.1651,0.46482,0.01524,-0.2032
385,1,11,7,14,5/18/2020,,Sector 1-12,SG47,3-B,1.00,1/29/2019,Emily,,HCS,HCS-29,6,1165,5105,3940,SA,2/18/2020,ET,6,110,25,d40g,2,2/18/2020,ET,14,3/3/2020,AW,5.0783,2.0878,2.0427,2.2060,1.8527,1.8113,2.0023,342.3,Zander,3118,Zander,9.11,20200305,2619,W,5.2474,98.16,0.3436,6.9492,11.4929,18.8,0.261,96.8516,99.1004,98.2009,98.5007,N,N,,,Zander/OLeary/Saad,20200512.1,199.707,234.133,0.853,Zander,20200306,20200513,Saad,,Saad,Joseph/Mason,Mason,06B11,43963,70,43896,5a,5a,5a,5a,5a,5a,5a,1,1,5a,385,0,6,B,11,,-0.09398,0.07112,-0.10922,-0.0508,0.06858,-0.09398,0.33782
386,2,11,7,15,6/1/2020,,Sector 1-12,SG47,3-B,0.90,1/29/2019,Saad,,HCS,HCS-29,5,1135,5045,3910,SA,2/13/2020,ET,6,110,25,d40g,2,2/13/2020,ET,14,2/27/2020,AW,5.0773,2.0957,2.0424,2.2113,1.8606,1.8111,2.0035,343.4,Zander,3110,Zander,9.06,20200310,2607,W,5.0224,97.71,0.1534,3.1837,11.3157,14.7,0.224,98.6507,98.9505,96.1019,97.1514,N,N,,,Zander/Saad,20200512.1,177.614,200.208,0.887,Vrishin,20200310,20200513,Saad,,Saad,Saad/Mason,Zander/Mason,04C11,43963,75,43900,5b,5a,5a,5b,5a,5a,5a,1,1,5b,386,0,4,C,11,,-0.11938,0.27178,-0.11684,0.08382,0.26924,-0.09906,0.3683
387,3,11,7,15,6/1/2020,,Sector 1-12,SG47,3-B,1.10,1/31/2019,Emily,,HCS,HCS-30,4,1140,5180,4040,SA,2/25/2020,SA,6,110,25,d40g,4,3/2/2020,ET,4,3/6/2020,AW,5.0773,2.0788,2.0469,2.2045,1.8438,1.8155,1.9938,341.0,Zander,3146,Zander,9.23,20200310,2603,W,2.0989,97.56,0.0000,1.5751,4.3796,6.0,0.171,98.2009,97.3013,97.6012,97.1514,N,N,,,Zander/Saad,20200508,193.862,200.208,0.968,Vrishin,20200310,20200511,Saad,,Saad,Saad/Mason,Zander/Mason,03B11,43959,63,43900,5b,5a,5a,5b,5a,5a,5a,1,1,5b,387,0,3,B,11,,-0.11938,-0.15748,-0.00254,-0.0889,-0.15748,0.0127,0.12192
388,4,11,7,7,7/24/2019,,Sector 1-12,SG47,3-B,1.75,1/31/2019,Mina,,HCS,HCS-14,2,1074,4811,3737,ET,5/22/2019,ET,,140,35,t then p bott,7,5/22/2019,ET,-43607,,,5.0755,2.0610,2.0300,2.2173,1.8283,1.7913,1.9865,338.2,Joseph,3036,Joseph,8.98,20190617,2634,W,0.1124,98.73,0.1139,1.5566,4.3660,6.0,0.149,98.9505,99.2504,97.6012,99.1004,N,N,,,Joseph,20190617,182.111,164.808,1.105,Joseph,20190626,20190628,Joseph,,Xiaoning,Xiaoning,Saad,02D11,43633,43633,43642,5b,5a,5b,5a,5a,5a,5a,1,1,5a,388,0,2,D,11,,-0.1651,-0.6096,-0.4318,0.23622,-0.55118,-0.60198,-0.0635
389,5,11,7,13,2/28/2020,,Sector 1-12,SG47,3-B,1.25,1/31/2019,Will,,HCS,HCS-28,5,1140,5180,4040,SA,2/4/2020,ET,6,110,25,d40g,2.5,2/4/2020,ET,-43865,,,5.0793,2.0805,2.0407,2.2078,1.8453,1.8093,1.9910,340.8,Joseph,3070,Joseph,9.01,20200217,2640,W,0.2249,98.95,0.1136,2.7652,9.2803,12.2,0.201,98.5007,99.7001,98.051,99.5502,N,N,,,Mason,20200221.1,213.07,177.247,1.202,OLeary,20200220.1,20200220,Mina,,Mason,Mason,Mason,12B11,43882,43882,43881,5a,5a,5a,5a,5a,5a,5a,1,1,5a,389,1,2,B,11,,-0.06858,-0.1143,-0.16002,-0.00508,-0.11938,-0.14478,0.0508
390,6,11,7,7,7/24/2019,,Sector 1-12,SG47,3-B,1.25,1/31/2019,Will,,HCS,HCS-13,2,1076,4627,3551,ET,4/16/2019,ET,3,140,35,warm W; 3x fast V,2.5,4/16/2019,ET,-43571,,,5.0738,2.0675,2.0225,2.2083,1.8230,1.7903,1.9788,336.4,Saad,2944,Saad,8.75,,2662,W,0.0000,99.78,0.0000,0.1127,0.7513,0.9,0.085,100.15,99.8501,100.3,98.8006,N,N,,,Saad,20190430,237.746,205.553,1.157,Saad,20190430,20190430,unknown,,,,,02B11,43585,43585,43585,5b,5b,5b,5a,5a,5a,5a,1,FALSE,5a,390,0,2,B,11,,-0.20828,-0.4445,-0.6223,0.00762,-0.6858,-0.62738,-0.25908
391,7,11,7,13,2/28/2020,,Sector 1-12,SG47,3-B,2.00,2/1/2019,Amanda,,HCS,HCS-27,4,1135,5010,3875,SA,1/13/2020,SA,6,110,25,d40g,3.5,1/30/2020,ET,20,2/19/2020,AW,5.0788,2.0634,2.0456,2.2070,1.8283,1.8142,1.9908,339.6,Mason,3052,Mason,8.99,20200220,2645,W,1.3118,99.14,0.2647,2.3441,8.2798,10.9,0.196,98.5007,98.6507,99.8501,99.5502,N,N,,,Zander,20200221,282.142,151.192,1.866,Vrishin,20200221,20200221,Zander,,Saad,Mason,Mason,03D11,43882,2,43882,5b,5a,5b,5a,5a,5a,5a,1,1,5a,391,0,3,D,11,,-0.08128,-0.54864,-0.03556,-0.0254,-0.55118,-0.02032,0.04572
392,8,11,7,14,5/18/2020,,Sector 1-12,SG47,3-B,1.25,2/1/2019,Mason,,HCS,HCS-28,4,1140,5105,3965,SA,2/7/2020,SA,6,110,25,d40g,2,2/7/2020,ET,13,2/20/2020,AW,5.0713,2.0742,2.0444,2.2055,1.8395,1.8133,1.9868,339.6,Zander,3082,Zander,9.08,20200305,2621,W,2.8486,98.24,0.0763,1.7551,4.0061,5.8,0.166,97.0015,99.5502,97.3013,99.1004,N,N,,,Zander/OLeary/Saad,20200512.1,289.688,234.133,1.237,Zander,20200306,20200513,Saad,,Saad,Joseph/Mason,Mason,06A11,43963,82,43896,5a,5a,5a,5a,5a,5a,5a,1,1,5a,392,0,6,A,11,,-0.27178,-0.27432,-0.06604,-0.0635,-0.2667,-0.04318,-0.05588
393,9,11,7,21,9/9/2020,,Sector 1-12,SG47,3-B,1.50,2/1/2019,Mina,,HCS,HCS-13,3,1068,4696,3628,ET,4/16/2019,ET,3,140,35,warm W; 3x+ slow V,3,4/16/2019,ET,-43571,,,5.0703,2.0605,2.0428,2.2065,1.8295,1.8160,1.9810,338.1,Xiaoning,2954,Yuxuan,8.74,20190514,2651,W,0.0749,99.36,0.0377,0.5281,2.1501,2.7,0.120,100.3,99.5502,98.9505,98.6507,N,N,,,Yuxuan,20200825,127.418,104.387,1.221,Mina,20200819.2,20190507,Xiaoning,,unknown/Caroline,Adin,unknown/Caroline,09A11,44068,44068,44062,5b,5b,5b,5a,5a,5a,5a,1,1,5a,393,0,9,A,11,,-0.29718,-0.6223,-0.10668,-0.0381,-0.5207,0.0254,-0.2032
394,10,11,8,,,Mr. Softie 2  marked 20191108 as 8,Sector 1-12,SG47,3-B,1.25,2/1/2019,Mason,,HCS,HCS-17,4,1160,4945,3785,SA,10/28/2019,ET,5,120,30,d35g,2,10/28/2019,ET,-43766,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,#NUM!,#NUM!,#NUM!,#NUM!,Mason,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,#NUM!,#NUM!,#NUM!,#NUM!,#N/A,#NUM!,FALSE,FALSE,#NUM!,394,,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
395,11,11,7,17,6/24/2020,first cooled block sample,Sector 1-12,SG47,3-B,1.50,2/4/2019,Parker,,HCS,HCS-30,5,1140,5200,4060,SA,2/27/2020,SA,6,110,25,d40g,2,3/4/2020,ET,97,6/9/2020,AW,5.0070,2.0810,2.0390,2.2120,1.8480,1.8030,2.0040,337.1,AW,3184,AW,9.45,20200609,2631,W,1.0870,98.61,0.2661,2.7366,7.4496,10.5,0.198,98.2009,99.7001,98.2009,98.3508,N,N,,,Mason,20200612.1,282.01,198.465,1.421,Mina/Saad,20200612,20200615,Mason,,Saad,Mina,Adin,05B11,43994,3,43994,5b,5a,5b,5a,5a,5a,5a,1,1,5a,395,0,5,B,11,,-1.905,-0.1016,-0.2032,0.1016,-0.0508,-0.3048,0.381
396,12,11,7,15,6/1/2020,6 week in Freezer,Sector 1-12,SG47,3-B,1.25,2/4/2019,Zander,,HCS,HCS-31,6,1170,5205,4035,SA,3/3/2020,SA,6,110,25,d40g,2,3/16/2020,ET,2,3/18/2020,AW,5.0803,2.0831,2.0453,2.2073,1.8479,1.8138,2.0035,342.4,Saad,3152,Saad,9.21,20200519,2659,W,0.7871,99.66,0.0376,2.9710,10.1542,13.2,0.222,99.7001,100,99.4003,99.5502,N,N,,,Mason/Saad/Xiaoning\,20200519,225.821,168.766,1.338,Mina,20200521,20200521,Mina,,Mason,Saad,Saad,04B11,43970,62,43972,5a,5a,5a,5a,5a,5a,5a,1,1,5a,396,0,4,B,11,,-0.04318,-0.04826,-0.04318,-0.01778,-0.05334,-0.03048,0.3683
397,13,11,8,,,5c TooSmall BT ST: -.044,Sector 1-12,SG47,3-B,1.50,2/4/2019,Amanda,,HCS,HCS-32,4,1160,4810,3650,SA,5/11/2020,ET,7,110,25,d40g,2,5/12/2020,ET,2,5/14/2020,AW,5.0800,2.0405,2.0348,2.2080,1.8053,1.8033,1.9938,337.1,Mason,2970,Mason,8.81,20200521,2605,W,0.5248,97.64,0.0384,1.4204,10.2879,11.7,0.196,96.7016,97.4513,98.2009,98.2009,N,N,,,Mina/Mason,20200527,145.103,107.187,1.354,Mason,20200527,20200527,Mina,,Saad,Mason,Mason,,43978,13,43978,8,5a,8,5b,5a,5a,5a,1,1,5b,397,,,,,,-0.0508,-1.1303,-0.30988,0,-1.13538,-0.29718,0.12192
398,14,11,7,12,2/14/2020,,Sector 1-12,SG47,3-B,1.00,2/4/2019,Zander,,HCS,HCS-27,5,1140,5025,3885,SA,1/13/2020,SA,6,120,30,d40g,2,1/28/2020,ET,-43858,,,5.0783,2.0806,2.0397,2.1930,1.8455,1.8084,1.9988,340.0,Zander,3114,Zander,9.16,20200213,2627,W,0.9371,98.46,0.6471,2.2840,12.2954,15.2,0.174,98.051,99.2504,98.5007,98.051,N,N,,,Mason,20200213.1,253.366,148.22,1.709,Mina,20200213,20200213,Xiaoning,,Saad,Xiaoning,Saad,03A11,43874,43874,43874,5a,5a,5a,5a,5a,5a,5a,1,1,5a,398,0,3,A,11,,-0.09398,-0.11176,-0.18542,-0.381,-0.1143,-0.16764,0.24892
399,15,11,7,21,9/9/2020,5c LowDens,Sector 1-12,SG47,3-B,1.00,2/4/2019,Shashwat,,HCS,HCS-31,5,1145,4850,3705,SA,5/7/2020,ET,7,110,25,d40g,4,5/7/2020,ET,4,5/11/2020,AW,5.1173,2.0873,2.0300,2.1765,1.8672,1.8145,1.9975,342.1,Mason,2932,Mason,8.57,20200521,2640,W,1.4617,98.95,0.1894,4.0909,12.4242,16.7,0.259,97.6012,99.2504,99.5502,99.4003,N,N,,,Mason,20200527.1,119.067,131.185,0.908,Joseph,20200528,20200528,Mason,,Saad,Saad,Saad,10A11,43978,16,43979,5c,5c,5b,5a,5a,5a,5a,1,1,5a,399,1,0,A,11,,0.89662,0.05842,-0.4318,-0.8001,0.43688,-0.0127,0.2159
400,16,11,8,,,cut in half,Sector 1-12,SG47,1-B,0.75,2/4/2019,Saad,,HCS,HCS-16,3,1074,4844,3770,ET,6/4/2019,EP,4,120,30, ht V d35g,4.5,6/5/2019,ET,-43621,,,5.0775,2.0413,2.0063,2.1945,1.8233,1.8153,1.9693,333.9,Joseph,3010,Joseph,9.02,20190612,2605,W,0.6372,97.64,0.1152,1.4971,8.2918,9.9,0.212,99.4003,98.3508,96.7016,96.1019,Y,Y,,,Joseph,20190612,218.24,166.242,1.313,Mina,20190617,20190612,Joseph,,Xiaoning,Xiaoning,Xiaoning,,43628,43628,43633,8,5a,8,5b,5a,8,5a,1,1,8,400,,,,,,-0.1143,-1.10998,-1.03378,-0.3429,-0.67818,0.00762,-0.50038
401,1,12,7,16,6/16/2020,6 week in Freezer,Sector 1-12,SG47,3-B,1.00,2/5/2019,Emily,,HCS,HCS-31,6,1175,5210,4035,SA,3/3/2020,SA,6,110,25,d40g,2,3/16/2020,ET,2,3/18/2020,AW,5.0773,2.0651,2.0387,2.2155,1.8337,1.8115,1.9878,339.9,Mina,3146,Mina,9.26,20200608,2641,W,1.0495,98.99,0.0757,1.8175,6.0205,7.9,0.181,100.3,100,96.7016,98.9505,N,N,,,Mason,20200608.1,183.154,187.139,0.979,Saad,20200609,20200608,Mason,R,Saad,Mina,Adin,03B12,43990,82,43991,5a,5a,5a,5a,5a,5a,5a,1,1,5a,401,0,3,B,12,,-0.09398,-0.50546,-0.08382,0.3683,-0.49022,-0.0889,-0.03048
402,2,12,7,15,6/1/2020,,Sector 1-12,SG47,3-B,1.50,2/5/2019,Zander,,HCS,HCS-29,5,1150,5055,3905,SA,2/13/2020,ET,6,110,25,d40g,3,2/13/2020,ET,14,2/27/2020,AW,5.0785,2.0725,2.0388,2.1995,1.8411,1.8115,1.9913,339.5,Joseph,3018,Zander,8.89,20200302,2600,W,2.3988,97.45,0.2308,1.9615,7.1154,9.3,0.194,98.9505,99.8501,95.952,95.0525,N,N,,,Vrishin/Saad,20200512.1,218.4,183.91,1.188,Mason,20200304,20200511,Saad,,Joseph,Saad/Mason,Mason,03D12,43963,75,43894,5b,5a,5a,5b,5b,5a,5a,1,1,5b,402,0,3,D,12,,-0.0635,-0.3175,-0.08128,-0.0381,-0.30226,-0.0889,0.05842
